program_name,category,program_type,unit,direct_rate_cents,optimal_rate_cents,optimal_method,issuer,country,redemption_methods
Air Miles - Cash Miles,Airline Miles,airline,per mile,10.53,16.07,Flight redemptions,Air Miles,Canada,"Cash Miles (direct), Dream Miles (flights), Merchandise"
Air Miles - Dream Miles,Airline Miles,airline,per mile,9.0,16.07,Flight redemptions,Air Miles,Canada,"Flights, Hotels, Car rentals, Merchandise"
Aeroplan,Airline Miles,airline,per point,1.0,2.0,Points + Cash bookings,Air Canada,Canada,"Points-only flights, Points + Cash (hybrid), Hotels, Car rentals, Statement credits"
WestJet Rewards,Airline Miles,airline,per point,1.0,1.0,Flight redemptions only,WestJet,Canada,"Flight redemptions, Taxes and fees, Gift cards, Merchandise"
Capital One Miles,Airline Miles,airline,per mile,0.75,2.0,Transfer partners,Capital One,Canada (US Card),"Statement credit/cash, Travel portal, Transfer partners, Amazon/PayPal"
American Express Membership Rewards,Credit Card Points,credit_card,per point,1.0,2.1,Transfer to Aeroplan,American Express,Canada,"Statement Credit, Transfer to Aeroplan, Amazon, PayPal, Gift cards"
RBC Avion Rewards,Credit Card Points,credit_card,per point,1.0,1.14,Elite tier flight redemptions,Royal Bank of Canada (RBC),Canada,"Flight redemptions, Hotels, Car rentals, Statement credit (Premium tier)"
CIBC Aventura Points,Credit Card Points,credit_card,per point,0.62,1.0,Travel redemptions,Canadian Imperial Bank of Commerce (CIBC),Canada,"Travel purchases, Financial products, Gift cards, Merchandise, Statement credits"
Scotiabank Scene+ Points,Credit Card Points,credit_card,per point,0.67,1.0,Travel redemptions,Scotiabank,Canada,"Travel, Entertainment/Movies, Statement credit, Merchandise"
BMO Rewards Points,Credit Card Points,credit_card,per point,0.67,0.67,Fixed value across all categories,Bank of Montreal (BMO),Canada,"Travel, Investment deposits, Gift cards, Statement credit, Merchandise"
TD Rewards Points,Credit Card Points,credit_card,per point,0.25,0.5,Expedia Travel Portal,Toronto-Dominion Bank (TD),Canada,"Expedia travel portal, Statement credit, Gift cards, Merchandise"
Tangerine Money-Back Rewards,Cashback,cashback,percent,2.0,2.5,Direct cashback deposit,Tangerine,Canada,"Direct deposit to account, Guaranteed 2% in 2 categories, 3% with savings"
Accor Live Limitless (ALL),Hotel Points,hotel,per point,2.7,2.7,Fixed value redemption,Accor Hotels,Canada,"Hotel stays (fixed value), Airline partner transfers (30+ airlines)"
World of Hyatt,Hotel Points,hotel,per point,2.2,2.2,Dynamic pricing,Hyatt Hotels,Canada,"Hotel stays, Suite upgrades, Experiences"
Marriott Bonvoy,Hotel Points,hotel,per point,0.74,2.2,Cash + Points on premium properties,Marriott International,Canada,"Hotel stays (dynamic), Cash + Points, Experience packages, Airline transfers"
IHG One Rewards,Hotel Points,hotel,per point,0.7,0.7,Variable by property,InterContinental Hotels Group (IHG),Canada,"Hotel stays (variable), Points & Cash, Experiences, Shopping"
Best Western Rewards,Hotel Points,hotel,per point,0.5,0.8,Elite status bonuses (up to 30%),Best Western Hotels & Resorts,Canada,"Hotel stays, Elite Bonus (Platinum), Elite Bonus (Diamond), Gift Cards"
Hilton Honors,Hotel Points,hotel,per point,0.48,0.48,Dynamic pricing,Hilton Hotels & Resorts,Canada,"Hotel stays (dynamic), Experiences, Merchandise"
